"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2024-03-19 13:50:49","DOGEBTC","BUY","0.0000020600","24067.0000000000DOGE","0.04957802BTC","24.0670000000DOGE"
"2024-03-19 13:50:49","DOGEBTC","BUY","0.0000020600","204.0000000000DOGE","0.00042024BTC","0.2040000000DOGE"
"2024-03-02 13:16:38","BTCUSDT","BUY","61940.5300000000","0.0008000000BTC","49.55242400USDT","0.0000008000BTC"
"2024-03-02 13:16:20","IDUSDT","SELL","0.6652100000","38.0000000000ID","25.27798000USDT","0.0252779800USDT"
"2024-03-02 13:16:20","IDUSDT","SELL","0.6652300000","18.0000000000ID","11.97414000USDT","0.0119741400USDT"
"2024-03-02 13:16:20","IDUSDT","SELL","0.6653000000","19.0000000000ID","12.64070000USDT","0.0126407000USDT"
"2024-03-02 13:03:52","BNBBTC","SELL","0.0066170000","0.0230000000BNB","0.00015219BTC","0.0000169800BNB"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294700","185.2000000000STRK","0.00545784BTC","0.1852000000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294500","271.6700000000STRK","0.00800068BTC","0.2716700000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294500","52.4300000000STRK","0.00154406BTC","0.0524300000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294400","108.7200000000STRK","0.00320072BTC","0.1087200000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294200","476.4400000000STRK","0.01401686BTC","0.4764400000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294100","108.7200000000STRK","0.00319746BTC","0.1087200000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294500","114.7300000000STRK","0.00337880BTC","0.1147300000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294200","306.8700000000STRK","0.00902812BTC","0.3068700000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294600","1694.4600000000STRK","0.04991879BTC","1.6944600000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000294100","116.0000000000STRK","0.00341156BTC","0.1160000000STRK"
"2024-02-29 12:11:27","STRKBTC","BUY","0.0000293900","108.8400000000STRK","0.00319881BTC","0.1088400000STRK"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318800","739.3000000000ARB","0.02356888BTC","0.7393000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318700","200.0000000000ARB","0.00637400BTC","0.2000000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318700","70.9000000000ARB","0.00225958BTC","0.0709000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318900","484.4000000000ARB","0.01544752BTC","0.4844000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000319000","3.7000000000ARB","0.00011803BTC","0.0037000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318800","510.1000000000ARB","0.01626199BTC","0.5101000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318800","200.0000000000ARB","0.00637600BTC","0.2000000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000319000","212.1000000000ARB","0.00676599BTC","0.2121000000ARB"
"2024-02-29 12:05:49","ARBBTC","BUY","0.0000318900","579.5000000000ARB","0.01848026BTC","0.5795000000ARB"
"2024-02-29 06:27:48","ATOMUSDT","BUY","11.6420000000","31.4900000000ATOM","366.60658000USDT","0.0314900000ATOM"
"2024-02-29 06:27:48","ATOMUSDT","BUY","11.6420000000","11.9900000000ATOM","139.58758000USDT","0.0119900000ATOM"
"2024-02-29 06:27:48","ATOMUSDT","BUY","11.6420000000","0.6800000000ATOM","7.91656000USDT","0.0006800000ATOM"
"2024-02-29 06:27:48","ATOMUSDT","BUY","11.6420000000","5.6800000000ATOM","66.12656000USDT","0.0056800000ATOM"
"2024-02-29 06:25:04","GMXUSDT","SELL","51.2900000000","7.8170000000GMX","400.93393000USDT","0.4009339300USDT"
"2024-02-29 06:25:04","GMXUSDT","SELL","51.2800000000","0.1950000000GMX","9.99960000USDT","0.0099996000USDT"
"2024-02-29 06:25:04","GMXUSDT","SELL","51.2900000000","2.8180000000GMX","144.53522000USDT","0.1445352200USDT"
"2024-02-29 06:25:04","GMXUSDT","SELL","51.2800000000","0.4950000000GMX","25.38360000USDT","0.0253836000USDT"
"2024-02-29 06:22:05","ATOMUSDT","BUY","11.6340000000","0.6600000000ATOM","7.67844000USDT","0.0006600000ATOM"
"2024-02-29 06:22:05","ATOMUSDT","BUY","11.6350000000","1.8900000000ATOM","21.99015000USDT","0.0018900000ATOM"
"2024-02-29 06:22:05","ATOMUSDT","BUY","11.6350000000","0.6900000000ATOM","8.02815000USDT","0.0006900000ATOM"
"2024-02-29 06:22:05","ATOMUSDT","BUY","11.6340000000","24.4500000000ATOM","284.45130000USDT","0.0244500000ATOM"
"2024-02-29 06:22:05","ATOMUSDT","BUY","11.6350000000","39.1800000000ATOM","455.85930000USDT","0.0391800000ATOM"
"2024-02-29 06:22:05","ATOMUSDT","BUY","11.6350000000","29.6100000000ATOM","344.51235000USDT","0.0296100000ATOM"
"2024-02-29 06:21:40","PEPEUSDT","SELL","0.0000031200","360155383.0000000000PEPE","1123.68479496USDT","1.1236847900USDT"
"2024-02-10 04:23:00","DOGEUSDT","BUY","0.0817200000","344.0000000000DOGE","28.11168000USDT","0.3440000000DOGE"
"2024-02-10 04:22:58","DOGEUSDT","BUY","0.0817200000","4805.0000000000DOGE","392.66460000USDT","4.8050000000DOGE"
"2024-02-10 04:22:52","DOGEUSDT","BUY","0.0817200000","959.0000000000DOGE","78.36948000USDT","0.9590000000DOGE"
"2024-02-10 04:22:36","DOGEUSDT","BUY","0.0817200000","299.0000000000DOGE","24.43428000USDT","0.2990000000DOGE"
"2024-02-10 04:22:33","DOGEUSDT","BUY","0.0817200000","90.0000000000DOGE","7.35480000USDT","0.0900000000DOGE"
"2024-02-10 04:22:11","DOGEUSDT","BUY","0.0817200000","545.0000000000DOGE","44.53740000USDT","0.5450000000DOGE"
"2024-02-10 04:22:04","DOGEUSDT","BUY","0.0817200000","250.0000000000DOGE","20.43000000USDT","0.2500000000DOGE"
"2024-02-10 04:21:51","DOGEUSDT","BUY","0.0817200000","304.0000000000DOGE","24.84288000USDT","0.3040000000DOGE"
"2024-02-10 04:21:49","DOGEUSDT","BUY","0.0817200000","910.0000000000DOGE","74.36520000USDT","0.9100000000DOGE"
"2024-02-10 04:21:42","DOGEUSDT","BUY","0.0817200000","164.0000000000DOGE","13.40208000USDT","0.1640000000DOGE"
"2024-02-10 02:52:31","BTCUSDT","SELL","47312.3300000000","0.0149900000BTC","709.21182670USDT","0.7092118300USDT"
"2024-02-08 01:51:10","APTUSDT","BUY","8.8456000000","60.0500000000APT","531.17828000USDT","0.0600500000APT"
"2024-02-08 01:51:09","APTUSDT","BUY","8.8456000000","8.2100000000APT","72.62237600USDT","0.0082100000APT"
"2024-02-08 01:47:59","APTUSDT","BUY","8.8456000000","17.0000000000APT","150.37520000USDT","0.0170000000APT"
"2024-02-08 01:47:59","APTUSDT","BUY","8.8456000000","1.6400000000APT","14.50678400USDT","0.0016400000APT"
"2024-02-08 01:47:59","APTUSDT","BUY","8.8456000000","20.0000000000APT","176.91200000USDT","0.0200000000APT"
"2024-02-08 01:47:59","APTUSDT","BUY","8.8455000000","23.2200000000APT","205.39251000USDT","0.0232200000APT"
"2024-02-04 14:20:33","RUNEUSDT","BUY","4.3700000000","228.8000000000RUNE","999.85600000USDT","0.2288000000RUNE"
"2024-01-06 07:41:59","BTCUSDT","SELL","43636.3800000000","0.0493400000BTC","2153.01898920USDT","2.1530189900USDT"
